,date,turnover,weekday,temperature,is_holiday
1157,2014-02-11,152.370461421554,Tuesday,4.925,0.0
6034,2016-10-16,151.709518375799,Sunday,11.375,0.0
6099,2016-10-29,151.2765089983,Saturday,11.375,0.0
2028,2014-08-10,151.093936302627,Sunday,23.1,0.0
375,2013-09-15,150.947116904365,Sunday,14.8625,0.0
4599,2015-12-27,150.617390974879,Sunday,10.875,0.0
6580,2017-01-28,150.612189036317,Saturday,2.875,0.0
4437,2015-11-28,150.585738123588,Saturday,6.125,0.0
7480,2017-07-30,150.306407349588,Sunday,24.0,0.0
235,2013-08-18,150.122396942697,Sunday,18.5875,0.0
4738,2016-01-24,149.789734439813,Sunday,5.125,0.0
4485,2015-12-06,149.609860945933,Sunday,10.875,0.0
515,2013-10-13,149.25084502852,Sunday,10.8625,0.0
1615,2014-05-18,149.244078377209,Sunday,16.5125,0.0
3887,2015-08-14,149.004415970268,Friday,24.0,0.0
465,2013-10-03,148.994652688514,Thursday,11.7625,1.0
445,2013-09-29,148.939102156167,Sunday,14.175,0.0
5252,2016-05-08,148.75173881877,Sunday,21.375,0.0
2445,2014-11-02,148.665068032433,Sunday,15.375,0.0
6620,2017-02-05,148.611259758825,Sunday,2.0,0.0
3932,2015-08-23,148.112100685466,Sunday,21.625,0.0
1580,2014-05-11,147.881905447336,Sunday,11.5625,0.0
8341,2018-01-14,147.761602469622,Sunday,0.325,0.0
4401,2015-11-22,147.38920509115,Sunday,2.25,0.0
3897,2015-08-16,146.710288158171,Sunday,21.5,0.0
